inicial_x,inicial_y,passos
93,58,1101
161,59,1955
224,83,2015
66,64,4421
231,161,11498
89,191,461
196,68,760
172,189,2398
53,69,2899
171,60,10586
115,56,824
201,180,1435
114,56,310
40,175,9797
55,68,2591
13,155,9308
27,168,8969
191,184,2041
116,194,3386
228,164,4141
44,178,4726
235,92,1601
117,56,2995
111,56,1397
24,165,3012
88,59,4218
136,56,307
168,60,2700
222,168,3079
79,189,2375
141,56,4250
151,193,2334
83,190,2040
129,194,3098
84,190,4353
106,56,640
200,180,3267
221,169,2939
202,70,2115
132,56,476
206,73,3671
75,61,2199
178,62,1181
119,194,2219
86,191,419
233,91,3073
157,192,10571
105,56,350
154,193,1942
237,95,2688
141,194,1742
105,194,8629
45,178,2382
97,193,1080
100,193,794
116,56,888
56,67,1460
49,70,6134
162,59,3966
201,180,5373
71,188,2534
68,63,1696
192,67,4497
81,190,9634
16,158,1654
99,193,1729
195,182,7100
166,190,5223
139,56,549
238,97,3292
184,64,2596
85,191,596
240,99,1079
183,186,3357
134,56,3804
235,157,2851
128,56,1330
124,56,3928
222,168,18351
112,56,180
175,61,1220
161,192,8086
202,179,4877
68,63,4271
249,120,2659
71,62,2121
240,99,11510
112,194,5538
89,191,1402
227,86,17117
223,82,5070
174,61,5311
118,56,149
80,190,2842
160,58,5077
145,56,5694
62,65,3738
28,82,5770
107,56,4362
162,191,5081
42,73,1165
115,194,79
146,193,3159
97,57,338
22,86,1341
142,194,592
17,160,8133
120,194,2196
127,56,740
101,193,3067
80,60,3344
110,56,45
77,189,4634
231,89,1421
94,58,1584
243,104,5001
51,181,4259
187,65,9890
130,194,1654
40,175,3854
152,57,3024
243,146,6568
161,191,2307
117,56,709
10,99,12177
107,56,438
235,93,1311
102,193,1452
102,193,3842
84,59,655
199,69,2142
205,72,2184
32,79,6550
69,187,5147
138,56,3883
183,186,15562
122,56,591
61,185,1624
107,194,459
239,97,8936
137,194,806
194,183,6120
164,59,3863
119,56,85
31,80,3496
170,60,9525
214,173,3975
118,194,1100
61,66,2381
101,193,453
216,78,3671
129,56,53
238,154,3557
110,194,1050
210,75,14058
92,58,605
248,116,5402
137,56,4392
240,99,4009
60,66,6779
110,56,274
135,194,13382
87,59,5848
22,164,2547
80,190,912
31,79,11915
203,71,6421
118,56,99
113,194,433
69,63,5785
77,61,1885
99,57,490
126,56,1151
220,170,8354
132,194,3749
162,191,2752
205,178,2667
18,89,2585
180,187,1325
235,93,1382
196,182,4497
122,194,183
118,194,431
38,75,13956
126,194,991
80,190,8728
104,193,604
37,174,4328
7,146,8528
105,56,329
146,193,1074
89,192,7240
160,58,9167
123,194,2123
173,61,1533
192,67,4928
50,180,2074
59,66,7292
119,194,2006
125,194,248
70,187,887
103,193,3040
127,56,557
18,161,4539
158,192,3373
56,183,9138
142,194,640
84,60,1689
93,58,177
119,56,234
208,177,1312
229,163,10429
145,56,3600
196,182,5272
69,187,1031
144,56,2146
104,193,727
34,78,1416
120,194,167
149,57,8336
42,73,4053
199,69,945
64,65,13151
211,75,1020
142,194,1857
88,59,366
142,194,253
185,64,10394
56,67,4001
152,193,8234
158,58,8078
69,187,2862
119,56,54
190,184,4680
81,60,2331
65,186,2401
193,183,2856
176,62,1822
191,184,865
60,66,2990
94,192,955
211,175,11548
153,57,3655
126,194,859
131,56,1009
95,58,538
170,190,4900
70,187,415
69,187,17321
129,194,8734
196,182,1398
104,193,1126
157,192,917
197,182,5103
127,194,1604
49,70,6030
103,57,353
155,192,4588
106,194,291
212,175,775
70,63,8720
114,194,1891
188,65,7792
14,93,4138
236,157,7381
191,184,1303
33,78,3168
63,185,8362
56,67,1373
206,178,3005
130,194,322
192,183,2433
17,160,1746
151,193,4159
198,181,8520
171,61,3363
153,193,5490
127,56,50
160,192,15659
167,190,8627
95,58,327
197,182,5137
237,95,5851
213,76,2939
238,154,7489
159,192,1701
158,58,7069
141,56,1790
155,192,2356
3,111,6264
178,188,2656
168,60,1682
195,68,3234
80,60,416
124,56,146
41,176,1876
228,86,1869
178,62,1432
212,174,16790
113,194,4661
70,63,7910
127,194,860
69,63,6827
97,193,704
134,56,17478
134,194,4088
139,194,2134
90,58,924
121,194,26
81,60,6769
123,194,703
135,56,904
44,178,8724
171,189,7373
149,193,596
92,192,1062
44,72,7250
44,178,1736
132,194,176
151,57,3263
133,56,143
221,81,953
15,158,5741
189,184,14107
115,56,64
77,189,855
89,58,1653
111,194,162
222,82,4626
152,193,1363
179,62,5897
215,173,7547
193,183,1545
97,57,8222
145,194,3089
124,194,143
179,187,5942
201,70,1411
21,163,1802
158,192,1113
120,56,49
86,59,1034
115,56,31
203,179,3742
209,176,5274
146,193,2290
90,58,417
143,194,1995
97,193,2369
72,188,1809
114,56,64
127,194,964
65,64,921
194,67,9740
128,56,524
103,57,2475
221,169,1775
227,164,4827
207,177,1783
86,59,4735
121,194,562
95,58,1026
151,193,10620
46,72,2060
211,75,6899
96,57,564
26,167,2475
109,194,8791
148,57,805
24,166,4183
201,180,12657
20,162,6757
150,57,1273
82,190,636
122,56,72
150,57,756
148,57,1666
235,93,8537
93,192,10075
118,56,2
107,56,9
63,65,2544
52,69,13147
107,56,3
66,64,4082
62,185,3840
130,194,549
69,187,852
98,193,544
138,56,5797
141,56,627
79,60,1190
114,56,7
71,187,4503
158,192,2076
103,57,73
93,58,1154
103,193,184
235,157,2336
217,171,7379
69,187,1037
104,57,56
175,61,1469
196,68,921
120,56,412
14,156,2881
190,66,16087
146,193,3415
101,193,118
76,189,1304
25,166,13700
232,160,12582
187,65,6076
122,56,59
170,190,7020
200,70,5111
202,179,6998
197,68,2708
62,65,387
228,164,4433
171,61,1830
186,65,3540
71,188,3552
148,57,431
164,59,1325
186,186,7724
117,56,2
80,60,574
109,56,34
203,179,11284
166,190,2569
159,192,8608
85,191,2956
135,194,4075
168,60,748
211,175,13942
96,192,2397
121,56,47
132,194,153
124,194,34
221,81,10169
173,189,1431
133,194,66
33,78,3130
111,194,33
147,193,4285
132,194,398
137,56,247
210,75,6310
224,167,2200
171,189,7121
112,56,1
58,183,3799
124,194,238
92,58,1604
50,70,2231
168,60,2651
89,59,384
154,57,1240
29,81,4465
101,57,44
85,59,3555
190,184,4500
79,189,283
43,177,2226
73,62,1028
202,71,4968
40,74,11015
111,194,1916
83,60,24190
235,93,1679
34,172,12154
60,66,1507
19,89,3801
101,57,13
126,194,91
45,178,5011
117,56,1
67,64,1520
70,187,4782
110,56,1
91,58,443
236,156,3112
27,168,8384
32,171,6635
99,57,69
230,88,15833
10,99,2875
133,194,865
102,57,393
45,178,4105
131,194,207
211,175,4418
120,194,1607
209,74,1637
47,71,2365
100,193,752
199,181,1203
118,56,1
194,183,12398
231,161,2167
123,194,16
188,185,3719
52,181,7194
10,99,5214
18,160,5187
118,56,1
17,159,8413
85,191,443
103,57,162
99,57,104
91,192,3493
136,194,720
152,193,961
77,61,3439
123,194,3
115,194,13
114,194,1
171,189,2860
66,64,11080
27,167,10069
89,191,935
151,193,5982
151,57,3862
89,59,677
72,62,3168
65,64,3453
185,186,1699
25,166,6882
97,193,3703
47,71,10218
89,192,602
204,72,4706
187,185,2197
173,189,2892
156,58,1145
51,69,2772
177,188,729
119,194,5
177,188,1478
21,163,5199
116,194,1
8,148,6515
97,193,1888
116,194,1
225,166,4273
59,184,971
170,60,4540
242,102,2397
173,61,7993
139,194,5621
128,56,748
67,64,3399
102,193,244
195,68,1984
125,56,48
189,65,2375
150,57,1025
167,190,2930
39,75,2807
168,190,2365
118,56,1
10,98,2578
103,57,1482
122,194,1
115,56,1
243,147,2043
218,171,13227
188,65,8549
114,56,1
200,180,5695
86,59,2537
246,142,1430
150,193,2778
53,181,1412
87,59,324
131,194,19
22,86,8552
100,57,42
126,56,27
170,60,755
136,194,123
34,172,1460
157,58,5874
208,177,1981
106,194,66
223,168,1708
193,183,2690
164,191,1429
222,168,2047
131,56,146
69,187,1474
195,68,3595
98,193,2512
140,56,1012
130,194,25
131,56,84
145,194,2731
44,178,1261
103,57,6
205,72,3947
151,193,8215
27,168,2416
166,60,3911
145,56,306
114,194,1
192,67,755
197,182,3040
159,58,2963
40,175,3005
141,56,460
90,192,3626
148,193,1098
70,63,364
18,160,1484
60,66,3008
125,56,1135
232,89,3603
66,64,571
190,184,984
67,64,1719
153,57,2680
192,67,613
125,56,412
233,90,2446
73,62,1956
97,193,691
121,194,299
185,64,2433
201,180,12720
191,66,4062
191,66,3998
197,69,3176
92,58,21
106,194,1353
232,90,8867
140,56,3859
198,181,10059
163,191,1443
162,191,423
30,80,5082
240,99,2399
103,193,140
107,194,558
172,189,2359
171,61,4758
129,194,38
48,179,3221
216,78,689
115,56,2
94,192,2098
58,184,1923
167,60,1856
105,194,173
21,87,2236
71,62,361
61,184,695
132,194,770
84,59,1437
138,194,757
190,184,9031
148,193,487
26,167,4619
117,56,1
106,194,28
93,192,921
106,56,1
159,58,3927
127,56,79
176,188,1857
126,56,3210
133,56,114
141,56,1537
143,194,254
60,184,1328
221,81,3716
237,95,2305
153,193,1299
117,194,1
50,180,3135
157,192,6622
75,188,6762
52,181,4596
83,190,819
212,174,6416
27,167,9107
174,61,1230
195,68,2315
62,65,9415
173,189,2315
204,71,1080
162,59,2344
73,188,5241
144,194,473
103,57,1
123,56,10
157,192,597
75,189,810
131,56,309
87,59,1771
120,56,1
119,56,1
156,192,3899
63,185,494
211,75,2827
138,56,909
227,86,3003
27,168,5913
116,56,1
174,189,2844
91,192,686
208,73,1426
20,162,3703
178,62,1227
70,187,6787
132,194,2211
237,95,2464
226,84,5393
143,56,724
104,57,1
116,194,1
82,190,1032
192,66,4640
155,192,914
125,194,1
3,111,1945
120,56,1
55,68,7889
242,149,2228
