i,j,energy
123,113,48
211,102,48552
57,161,10133
12,114,31029
133,133,3347
241,139,153
7,109,13543
203,89,3586
133,116,9446
18,145,37178
118,135,3
176,100,11
207,96,24789
168,105,1
204,117,29643
207,95,692
242,135,59580
240,133,560
20,127,14300
29,132,24941
209,115,226
7,131,12198
155,107,23592
8,108,316
67,137,3732
109,141,22983
31,146,11808
110,141,342
208,95,1452
164,117,64642
243,139,22819
103,129,6233
78,151,25183
105,148,514
94,123,23464
206,93,6330
241,137,223
242,140,8531
145,120,27306
56,161,14189
105,149,22578
227,103,77749
27,141,5952
229,101,251
134,130,5247
136,110,160
230,101,17499
10,120,12
238,112,53806
147,116,21701
54,157,23711
225,118,4119
41,155,30
21,143,14503
37,147,14776
185,114,53333
12,113,71
30,131,23850
107,128,50248
179,93,8439
129,125,3
93,127,39391
57,135,10126
161,119,59
92,142,24337
156,123,15309
232,125,55053
136,109,24652
179,92,7196
178,95,5145
191,113,135
2,112,8893
34,147,1771
196,95,46985
40,132,53220
11,112,63
87,134,27293
84,153,3023
234,125,308
164,107,69526
182,97,3399
135,108,18577
80,133,51
95,123,44291
108,145,29003
111,141,43573
150,109,13775
175,117,22943
178,92,12478
187,114,5075
206,94,538
119,125,2
213,117,20546
241,112,22
128,132,626
207,101,2604
55,160,10534
135,107,16587
172,99,436
115,118,26
55,161,3042
96,123,14638
241,140,85672
157,123,1900
201,92,478
134,107,27771
133,132,12393
55,162,2295
10,109,13003
48,138,1273
54,158,1700
133,134,276
106,148,52
30,146,21761
132,134,14472
203,88,1551
54,159,4284
177,96,39213
11,120,34515
82,151,60582
102,148,30828
139,116,19535
134,106,34
11,109,14766
99,141,4041
110,118,41
55,139,12903
132,135,4121
239,111,6420
160,121,10629
157,124,9163
205,92,30911
16,144,417
63,138,1682
240,111,848
114,133,8120
93,124,22456
12,109,240
105,150,3494
240,139,1018
151,109,16864
56,135,66
133,106,3382
157,106,11472
239,123,4
14,140,13825
173,121,25614
53,158,4071
207,98,22118
157,121,1914
134,133,33780
233,126,8085
57,134,659
238,111,45757
175,118,5554
22,133,83549
115,134,2844
13,109,16167
7,108,10299
172,98,268
157,105,1154
132,106,27066
241,141,3186
103,151,967
11,119,463
196,94,29405
198,110,484
226,124,1521
122,115,3748
241,142,22154
163,110,3
13,113,38456
114,132,1
203,87,19308
109,134,70232
210,103,131
177,95,47197
73,136,27717
50,141,1845
18,146,36487
205,116,1180
182,96,6499
241,143,188
119,135,58180
171,99,91819
138,113,11898
171,98,12717
12,118,19146
69,133,3110
58,134,207
10,140,65890
42,156,42889
149,110,10296
76,149,5
12,119,12054
176,95,6460
41,156,24730
157,125,16336
23,141,61
170,98,1
229,100,2027
207,94,32426
10,108,16188
30,137,1
172,120,6744
109,118,11969
202,94,1214
248,139,1519
97,123,11971
41,157,1802
240,143,29938
18,147,1721
40,155,5879
171,97,980
14,109,11654
181,114,278
210,117,53795
228,101,3308
242,128,28732
108,146,7989
95,125,59840
135,133,6697
14,108,18215
239,143,7673
224,114,3
179,91,2489
7,110,9195
206,92,37738
199,95,7
243,114,334
41,158,1944
13,110,11009
103,152,31105
75,134,11959
156,125,12215
160,111,820
96,125,31042
170,99,4050
202,114,2515
125,118,6909
155,125,2148
133,135,492
156,105,14917
77,150,4027
170,115,82227
174,121,7111
226,123,44
58,160,12811
59,160,82012
9,109,35911
55,163,29310
204,91,10205
93,125,30099
203,117,123
231,103,6846
237,112,12901
148,112,45306
57,137,40784
178,93,44213
134,109,11558
240,140,10495
48,137,5
137,109,209
147,122,17116
205,91,1206
94,122,132
119,116,9186
95,122,25795
239,140,7693
135,134,32584
8,107,7704
232,114,242
70,133,13315
61,136,11807
204,87,10758
92,127,4
97,122,29198
175,119,3244
98,122,45110
37,148,45355
120,113,12507
207,92,48140
132,105,2547
150,108,21798
212,118,18651
93,122,1300
110,119,6276
43,134,681
102,150,12425
81,151,112
95,140,15411
133,105,4629
108,118,20207
