inicial_x,inicial_y,passos
241,170,2625
220,205,2347
178,13,3742
32,43,3232
197,24,4719
213,213,2617
63,233,2324
47,28,8204
39,215,2996
73,12,1977
78,10,3218
234,66,6126
20,192,11397
31,43,4414
84,8,2782
3,148,3142
212,36,3599
204,29,6490
32,207,13490
3,150,3398
249,135,2276
47,28,9065
217,42,9251
248,143,2065
43,32,7372
160,6,3634
240,79,4557
3,149,2196
94,5,2878
81,9,1896
23,54,6038
20,192,4135
106,2,2725
229,193,3621
199,225,1074
33,42,5267
229,193,1982
225,199,6764
232,61,1681
20,191,5962
30,206,9560
212,36,5871
46,221,4198
86,243,6036
239,76,11466
200,224,7554
235,184,4380
6,89,3762
37,213,4207
245,93,3342
30,205,4481
93,245,4611
5,157,1249
24,53,3461
68,235,8500
203,221,3068
228,195,4580
5,158,5003
33,208,2478
21,57,1441
216,210,9332
153,246,2208
212,36,1848
82,8,8052
35,211,7598
104,248,5489
163,243,3800
46,29,11919
208,32,10183
208,217,2158
62,18,2245
72,237,5542
33,208,2633
232,188,4160
75,11,3494
237,70,1105
176,12,6928
32,43,6404
30,205,3814
191,20,3849
86,7,5346
56,22,5163
225,51,2964
54,227,5058
14,181,4645
29,46,7551
161,6,11533
101,3,2120
39,35,3505
4,94,2550
173,240,936
19,60,5415
59,231,17681
47,29,8668
2,143,2808
192,20,3825
38,214,3847
103,3,833
25,199,3904
237,70,3055
184,15,7140
203,28,7415
237,178,4286
172,10,3352
194,228,9056
86,243,3402
33,208,13492
231,60,5972
83,242,2671
228,195,3694
12,176,3125
10,78,2080
214,39,9356
237,180,3989
12,176,3396
19,59,5243
147,3,1080
55,228,10904
53,24,1586
48,28,6401
65,16,4365
225,52,4556
15,67,4399
11,175,5716
209,217,13516
11,76,1541
90,6,4906
58,20,7203
231,60,5091
49,224,3243
225,51,2947
216,40,3115
62,232,5434
69,14,4110
155,246,2761
47,28,6369
13,178,9046
213,37,8828
213,212,5539
241,80,3756
42,32,2464
238,177,2729
212,36,2579
50,224,1751
42,33,7574
5,159,1565
230,192,2693
192,230,5084
224,200,3680
82,8,7425
53,23,7071
16,65,5810
159,5,2276
25,199,5972
233,63,2589
56,22,2210
235,183,4687
38,36,4978
172,240,2811
222,47,2995
43,218,3792
199,225,5384
14,69,4250
75,11,3562
81,241,5080
44,31,1719
35,210,11354
61,18,2790
210,215,5781
229,56,3828
184,16,6517
5,158,7836
99,3,1029
172,10,3288
99,247,4766
193,21,9658
206,219,12913
207,218,5829
147,3,3182
123,249,2196
122,1,1355
11,175,1674
23,196,7597
37,213,3162
29,204,7643
205,30,3703
215,40,8547
171,9,10048
186,17,6320
180,237,6928
207,218,2991
207,218,7241
219,206,3373
247,147,2493
205,30,1669
70,14,4134
3,151,4178
220,45,9174
66,16,1827
25,51,1462
180,236,1367
17,186,1956
82,8,4010
63,233,3623
234,185,2619
243,86,2885
163,7,2004
185,234,4164
10,171,3534
220,205,8438
26,200,6157
66,234,3016
169,241,8607
210,215,4046
242,84,7888
163,243,810
81,9,6455
223,49,6247
140,248,1861
1,116,958
227,197,969
30,205,2890
37,37,4275
176,12,1625
234,185,11631
96,4,1243
237,71,14769
24,52,1619
241,169,2268
95,4,7949
140,1,1806
6,162,2458
231,189,2673
234,66,9325
145,2,5687
83,8,8164
35,211,3145
10,172,6786
49,27,5617
202,223,4711
227,53,5517
199,25,5297
189,18,1230
11,75,8577
218,43,8788
52,225,6475
49,27,2823
206,30,6146
244,162,3384
14,181,6094
14,69,4022
16,65,2490
169,9,8965
17,64,10115
142,2,3694
1,134,2886
191,230,1239
125,1,2978
19,190,1641
205,30,4299
10,77,5347
195,228,7589
217,42,676
206,30,6897
200,224,12860
224,50,4592
36,38,1800
36,38,1920
216,210,4301
1,126,5924
182,14,2656
47,222,2418
213,37,8154
41,217,6102
20,192,6003
195,22,6176
13,178,928
65,16,3543
147,247,1760
215,39,2830
190,19,893
25,51,8898
61,232,7122
234,186,2812
246,156,4184
26,50,3390
236,69,3446
246,96,5049
184,16,930
69,14,3074
204,221,2110
226,52,12362
226,198,2801
14,181,2717
207,32,3841
40,215,5440
193,229,1378
188,232,2135
219,44,1980
49,27,9434
58,20,1404
10,77,1267
42,32,4320
226,53,2762
166,8,1815
193,229,2722
140,249,639
117,249,5581
229,193,4104
13,180,2593
27,201,5955
228,56,4581
186,17,2413
32,208,5181
11,75,4094
24,198,3062
8,84,7724
237,179,16998
72,238,3558
51,25,3633
14,70,2585
211,35,10976
211,36,2435
202,223,4033
51,25,4057
49,27,6871
9,80,2510
1,121,1620
49,26,3727
53,227,2229
6,161,4700
26,50,5171
211,36,4106
24,198,5235
26,200,7702
21,193,1646
13,72,1874
230,59,2015
210,34,7084
224,50,5886
238,72,4543
215,211,2593
65,234,10084
45,220,5112
171,240,6185
22,195,5751
160,244,1895
48,222,4525
41,34,14169
17,63,4563
1,118,6184
90,244,3282
53,24,6403
53,226,1814
240,77,2676
9,171,6102
19,191,5666
220,205,1884
204,221,7401
54,23,5055
19,60,5488
217,208,868
34,41,2434
226,53,1396
64,17,2435
8,167,4573
171,9,5183
1,118,7412
173,240,1656
13,72,5589
248,110,1914
52,226,3013
41,33,9292
6,90,4448
228,194,1423
63,17,5966
191,19,8338
73,12,3177
183,15,2495
4,97,4367
209,33,2354
1,119,5600
233,187,7217
223,48,5777
246,98,6038
65,234,4167
196,23,5087
13,178,871
213,213,7247
245,158,5782
211,215,808
79,9,2617
30,205,4075
115,1,7151
7,165,1553
189,18,10370
31,44,775
83,8,4064
184,15,4618
174,11,3406
41,217,3889
224,200,6637
189,18,3333
91,245,11158
179,237,4032
25,198,11864
134,1,1987
25,199,2192
23,54,8468
42,217,8536
232,188,6626
249,130,6304
2,144,894
205,220,4387
30,44,7029
154,4,1441
18,188,4175
219,43,5736
45,220,2407
243,85,5606
209,33,5468
169,9,1123
13,180,5245
64,17,3223
6,161,4429
224,50,1685
88,6,4675
66,15,1775
236,69,2125
178,12,1614
249,128,7543
225,199,4002
14,69,3308
70,237,8019
24,197,3765
181,236,15064
72,13,1222
21,193,6968
176,239,5241
30,45,3219
238,178,6715
52,24,3752
185,234,2189
44,31,2233
2,104,2171
220,205,3565
194,21,2574
86,7,4224
87,7,709
198,226,4167
49,26,8360
213,37,2211
223,202,6475
12,74,2301
221,204,8057
166,8,1643
67,15,2319
167,8,2466
39,35,5092
59,230,2070
225,51,2853
150,247,2013
71,13,1699
126,1,518
26,200,4196
13,71,3459
195,22,5749
80,9,6300
196,227,2521
216,40,5642
38,214,4269
114,1,1199
64,16,3521
180,237,2174
58,20,2051
